time,fips,region,ownercode,firmage,Emp,EmpEnd,EarnBeg,EmpS,EmpTotal,FrmJbC
1995,20,Kansas,A05,3,159243.0,159555.0,5843.0,124184.0,223326.0,311.0
1995,20,Kansas,A05,4,409110.0,408652.0,6562.0,327596.0,553123.0,-458.0
1995,20,Kansas,A05,5,2846435.0,2855110.0,8305.0,2456340.0,3495829.0,8675.0
1995,22,Louisiana,A05,1,,345145.0,,,499854.0,
1995,22,Louisiana,A05,2,,330898.0,,,463883.0,
1995,22,Louisiana,A05,3,,281324.0,,,383355.0,
1995,22,Louisiana,A05,4,,638482.0,,,840082.0,
1995,22,Louisiana,A05,5,,3944333.0,,,4823780.0,
1995,24,Maryland,A05,1,311922.0,352200.0,6756.0,238908.0,495233.0,40279.0
1995,24,Maryland,A05,2,359885.0,362748.0,6953.0,284771.0,490933.0,2863.0
1995,24,Maryland,A05,3,328515.0,330754.0,7014.0,263454.0,437478.0,2240.0
1995,24,Maryland,A05,4,914991.0,919733.0,7809.0,757369.0,1176738.0,4742.0
1995,24,Maryland,A05,5,5133084.0,5141682.0,9335.0,4459095.0,6189516.0,8597.0
1995,27,Minnesota,A05,1,323476.0,351493.0,6176.0,254428.0,479126.0,28016.0
1995,27,Minnesota,A05,2,368607.0,368529.0,6402.0,294566.0,495308.0,-78.0
1995,27,Minnesota,A05,3,388967.0,387687.0,6921.0,316855.0,504370.0,-1279.0
1995,27,Minnesota,A05,4,949858.0,953791.0,7388.0,798665.0,1199438.0,3932.0
1995,27,Minnesota,A05,5,5850655.0,5869164.0,9445.0,5150846.0,6954638.0,18509.0
1995,29,Missouri,A05,1,,426267.0,,,614044.0,
1995,29,Missouri,A05,2,,458180.0,,,642302.0,
1995,29,Missouri,A05,3,,408130.0,,,564115.0,
1995,29,Missouri,A05,4,,880066.0,,,1161653.0,
1995,29,Missouri,A05,5,,6150566.0,,,7410726.0,
1995,30,Montana,A05,1,62000.0,68809.0,3951.0,45033.0,100606.0,6808.0
1995,30,Montana,A05,2,73449.0,73639.0,4475.0,56013.0,103257.0,191.0
1995,30,Montana,A05,3,53966.0,53954.0,4821.0,42639.0,72695.0,-13.0
1995,30,Montana,A05,4,166897.0,167268.0,5725.0,136762.0,216549.0,370.0
1995,30,Montana,A05,5,719718.0,720706.0,6902.0,618684.0,877610.0,989.0
1995,37,North Carolina,A05,1,483281.0,534015.0,5594.0,356423.0,793776.0,50734.0
1995,37,North Carolina,A05,2,548437.0,551046.0,5689.0,407247.0,820907.0,2609.0
1995,37,North Carolina,A05,3,537840.0,540883.0,5897.0,414924.0,766637.0,3043.0
1995,37,North Carolina,A05,4,1339729.0,1344782.0,6617.0,1080555.0,1801130.0,5052.0
1995,37,North Carolina,A05,5,8625018.0,8630367.0,8308.0,7464584.0,10521559.0,5349.0
1995,41,Oregon,A05,1,248007.0,274563.0,5586.0,185090.0,397656.0,26556.0
1995,41,Oregon,A05,2,254608.0,256704.0,5937.0,197075.0,359241.0,2097.0
1995,41,Oregon,A05,3,240514.0,243306.0,6016.0,184383.0,349179.0,2792.0
1995,41,Oregon,A05,4,615931.0,621881.0,6920.0,493907.0,838437.0,5949.0
1995,41,Oregon,A05,5,3378823.0,3398857.0,8821.0,2919864.0,4141184.0,20034.0
1995,44,Rhode Island,A05,1,,73865.0,,,102451.0,
1995,44,Rhode Island,A05,2,,60494.0,,,78712.0,
1995,44,Rhode Island,A05,3,,66208.0,,,84740.0,
1995,44,Rhode Island,A05,4,,166382.0,,,210334.0,
1995,44,Rhode Island,A05,5,,1119999.0,,,1307597.0,
1995,48,Texas,A05,1,,1679160.0,,,2448871.0,
1995,48,Texas,A05,2,,1656845.0,,,2383861.0,
1995,48,Texas,A05,3,,1435835.0,,,1989230.0,
1995,48,Texas,A05,4,,3218539.0,,,4241058.0,
1995,48,Texas,A05,5,,17954388.0,,,21875487.0,
1995,53,Washington,A05,1,392949.0,433674.0,5559.0,286195.0,647548.0,40727.0
1995,53,Washington,A05,2,422042.0,420217.0,6014.0,320231.0,608760.0,-1823.0
1995,53,Washington,A05,3,384287.0,383574.0,6207.0,294076.0,567942.0,-713.0
1995,53,Washington,A05,4,1030830.0,1031096.0,7235.0,825851.0,1416994.0,267.0
1995,53,Washington,A05,5,5433551.0,5426514.0,9693.0,4701454.0,6664422.0,-7037.0
1995,55,Wisconsin,A05,1,321250.0,351155.0,5161.0,249288.0,476243.0,29907.0
1995,55,Wisconsin,A05,2,364898.0,364215.0,5957.0,290407.0,487415.0,-686.0
1995,55,Wisconsin,A05,3,330811.0,330065.0,5508.0,268051.0,430357.0,-746.0
1995,55,Wisconsin,A05,4,1014628.0,1015881.0,6486.0,848302.0,1284129.0,1256.0
1995,55,Wisconsin,A05,5,6510440.0,6521411.0,8542.0,5801622.0,7577100.0,10969.0
1996,06,California,A05,1,2370127.0,2632825.0,7441.0,1815458.0,3749478.0,262697.0
1996,06,California,A05,2,2706052.0,2723255.0,7842.0,2133042.0,3758200.0,17203.0
